Journal	Pubmed ID	All Authors (original order)	All Authors Number of Self-References	All Authors Percentage Self-References	Highest Self-Referencing Author	Number of Self-References (max. author)	Total Number of References	Percentage Self-References (max. author)	Manually Verified Number of Self-References (max. author)	Manually Verified Total Number of References	Manually Verified Percentage Self-References (max. author)
CurrBiol	20674359	Marina Elez;Andrew W Murray;Li-Jun Bi;Xian-En Zhang;Ivan Matic;Miroslav Radman	0;0;0;0;0;2	0.0;0.0;0.0;0.0;0.0;8.33	Miroslav Radman	2	24	8.33	2	24	8.333333333
PlosPath	34352042	Shaohui Wang;Ujjaldeep Jaggi;Jack Yu;Homayon Ghiasi	5;1;0;23	7.81;1.56;0.0;35.94	Homayon Ghiasi	23	64	35.94	23	65	35.38461538
MCB	12509456	Tiho Miralem;Hava Karsenty Avraham	2;1	2.47;1.23	Tiho Miralem	2	81	2.47	2	81	2.469135802
PlosGenet	25356737	Jin-Gyoung Jung;Alexander Stoeck;Bin Guan;Ren-Chin Wu;Heng Zhu;Seth Blackshaw;Ie-Ming Shih;Tian-Li Wang	0;1;0;0;2;1;3;3	0.0;4.76;0.0;0.0;9.52;4.76;14.29;14.29	Ie-Ming Shih;Tian-Li Wang	3	21	14.29	3	22	13.63636364
Nature	25754329	Christina Twyman-Saint Victor;Andrew J Rech;Amit Maity;Ramesh Rengan;Kristen E Pauken;Erietta Stelekati;Joseph L Benci;Bihui Xu;Hannah Dada;Pamela M Odorizzi;Ramin S Herati;Kathleen D Mansfield;Dana Patsch;Ravi K Amaravadi;Lynn M Schuchter;Hemant Ishwaran;Rosemarie Mick;Daniel A Pryma;Xiaowei Xu;Michael D Feldman;Tara C Gangadhar;Stephen M Hahn;E John Wherry;Robert H Vonderheide;Andy J Minn	0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;2;1;0	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.57;0.0;0.0;0.0;0.0;0.0;3.57;0.0;0.0;0.0;0.0;3.57;0.0;7.14;3.57;0.0	E John Wherry	2	28	7.14	2	33	6.060606061
PlosCompBiol	33577583	Jordane Preto;Isabelle Krimm	1;0	2.04;0.0	Jordane Preto	1	49	2.04	1	52	1.923076923
PlosPath	32866188	Binghua Chen;Lin Lin;Yuwen Lu;Jiejun Peng;Hongying Zheng;Qiankun Yang;Shaofei Rao;Guanwei Wu;Junmin Li;Zhuo Chen;Baoan Song;Jianping Chen;Fei Yan	0;3;3;2;3;0;0;0;1;1;1;4;5	0.0;4.76;4.76;3.17;4.76;0.0;0.0;0.0;1.59;1.59;1.59;6.35;7.94	Fei Yan	5	63	7.94	5	63	7.936507937
Cell	32937106	Xiong Xiao;Hanfei Deng;Alessandro Furlan;Tao Yang;Xian Zhang;Ga-Ram Hwang;Jason Tucciarone;Priscilla Wu;Miao He;Ramesh Palaniswamy;Charu Ramakrishnan;Kimberly Ritola;Adam Hantman;Karl Deisseroth;Pavel Osten;Z Josh Huang;Bo Li	0;0;1;0;1;0;2;3;4;0;1;0;0;3;2;4;3	0.0;0.0;1.28;0.0;1.28;0.0;2.56;3.85;5.13;0.0;1.28;0.0;0.0;3.85;2.56;5.13;3.85	Miao He;Z Josh Huang	4	78	5.13	4	80	5
PlosCompBiol	27851764	Adam F Prasanphanich;Douglas E White;Margaret A Gran;Melissa L Kemp	1;0;0;1	1.22;0.0;0.0;1.22	Adam F Prasanphanich;Melissa L Kemp	1	82	1.22	1	90	1.111111111
JCellBiol	21646403	Robin M Ricke;Karthik B Jeganathan;Jan M van Deursen	1;6;11	1.14;6.82;12.5	Jan M van Deursen	11	88	12.5	11	88	12.5
