Journal	Pubmed ID	All Authors (original order)	All Authors Number of Self-References	All Authors Percentage Self-References	Highest Self-Referencing Author	Number of Self-References (max. author)	Total Number of References	Percentage Self-References (max. author)	Manually Verified Number of Self-References (max. author)	Manually Verified Total Number of References	Manually Verified Percentage Self-References (max. author)
mBio	29895636	Dylan W White;Sarah R Elliott;Evan Odean;Lynne T Bemis;Anna D Tischler	1;2;0;0;6	2.5;5.0;0.0;0.0;15.0	Anna D Tischler	6	40	15	6	40	15
PlosPath	24968198	Eugene V Ryabov;Graham R Wood;Jessica M Fannon;Jonathan D Moore;James C Bull;Dave Chandler;Andrew Mead;Nigel Burroughs;David J Evans	3;1;1;1;1;1;1;2;2	4.11;1.37;1.37;1.37;1.37;1.37;1.37;2.74;2.74	Eugene V Ryabov	3	73	4.11	3	86	3.488372093
PlosGenet	29668692	Daniel Dar;Rotem Sorek	3;5	6.52;10.87	Rotem Sorek	5	46	10.87	5	51	9.803921569
PlosPath	23055932	Maryam Kamali;Ai Xia;Zhijian Tu;Igor V Sharakhov	0;3;1;5	0.0;7.14;2.38;11.9	Igor V Sharakhov	5	42	11.9	5	47	10.63829787
BMCmed	30961604	Vladeta Ajdacic-Gross;Margot Mutsch;Stephanie Rodgers;Anja Tesic;Mario Müller;Erich Seifritz;En-Young N Wagner;Roland von Känel;Markus A Landolt;Nina Steinemann;Viktor von Wyl;Enrique Castelao;Marie-Pierre F Strippoli;Jennifer Glaus;Caroline Vandeleur;Pedro M Marques-Vidal;Peter Vollenweider;Martin Preisig	4;1;4;0;4;0;0;2;0;0;0;4;0;0;3;0;3;9	6.15;1.54;6.15;0.0;6.15;0.0;0.0;3.08;0.0;0.0;0.0;6.15;0.0;0.0;4.62;0.0;4.62;13.85	Martin Preisig	9	65	13.85	9	71	12.67605634
PlosPath	33108395	Xin Wang;Zhuanchang Wu;Yuming Li;Yifan Yang;Changguang Xiao;Xiqian Liu;Xiao Xiang;Jianchao Wei;Donghua Shao;Ke Liu;Xufang Deng;Jiaqiang Wu;Yafeng Qiu;Beibei Li;Zhiyong Ma	1;1;0;2;0;0;0;5;5;3;3;0;4;4;6	1.47;1.47;0.0;2.94;0.0;0.0;0.0;7.35;7.35;4.41;4.41;0.0;5.88;5.88;8.82	Zhiyong Ma	6	68	8.82	7	68	10.29411765
JCellBiol	27646276	Ravikiran Kasula;Ye Jin Chai;Adekunle T Bademosi;Callista B Harper;Rachel S Gormal;Isabel C Morrow;Eric Hosy;Brett M Collins;Daniel Choquet;Andreas Papadopulos;Frédéric A Meunier	1;0;0;1;2;0;3;5;6;4;0	2.22;0.0;0.0;2.22;4.44;0.0;6.67;11.11;13.33;8.89;0.0	Daniel Choquet	6	45	13.33	6	45	13.33333333
BMCmed	25948112	Dora Romaguera;Heather Ward;Petra A Wark;Anne-Claire Vergnaud;Petra H Peeters;Carla H van Gils;Pietro Ferrari;Veronika Fedirko;Mazda Jenab;Marie-Christine Boutron-Ruault;Laure Dossus;Laureen Dartois;Camilla Plambeck Hansen;Christina Catherine Dahm;Genevieve Buckland;María José Sánchez;Miren Dorronsoro;Carmen Navarro;Aurelio Barricarte;Timothy J Key;Antonia Trichopoulou;Christos Tsironis;Pagona Lagiou;Giovanna Masala;Valeria Pala;Rosario Tumino;Paolo Vineis;Salvatore Panico;H Bas Bueno-de-Mesquita;Peter D Siersema;Bodil Ohlsson;Karin Jirström;Maria Wennberg;Lena M Nilsson;Elisabete Weiderpass;Tilman Kühn;Verena Katzke;Kay-Tee Khaw;Nick J Wareham;Anne Tjønneland;Heiner Boeing;José R Quirós;Marc J Gunter;Elio Riboli;Teresa Norat	4;0;2;2;4;3;5;2;3;3;1;1;0;0;0;1;3;1;5;4;8;0;1;2;1;5;6;6;5;2;0;1;0;0;2;1;0;5;1;9;8;1;2;11;8	12.5;0.0;6.25;6.25;12.5;9.38;15.62;6.25;9.38;9.38;3.12;3.12;0.0;0.0;0.0;3.12;9.38;3.12;15.62;12.5;25.0;0.0;3.12;6.25;3.12;15.62;18.75;18.75;15.62;6.25;0.0;3.12;0.0;0.0;6.25;3.12;0.0;15.62;3.12;28.12;25.0;3.12;6.25;34.38;25.0	Elio Riboli	11	32	34.38	11	34	32.35294118
PlosGenet	23818873	Shivani S Singh;David C Grainger	1;5	2.94;14.71	David C Grainger	5	34	14.71	5	35	14.28571429
PlosPath	28837667	Margery G Smelkinson;Annabel Guichard;John R Teijaro;Meghana Malur;Maria Eugenia Loureiro;Prashant Jain;Sundar Ganesan;Elina I Zúñiga;Robert M Krug;Michael B Oldstone;Ethan Bier	1;1;0;0;0;0;1;0;2;0;5	1.61;1.61;0.0;0.0;0.0;0.0;1.61;0.0;3.23;0.0;8.06	Ethan Bier	5	62	8.06	5	63	7.936507937
Genetics	19901071	Pamela E Hoppe;Johnnie Chau;Kelly A Flanagan;April R Reedy;Lawrence A Schriefer	2;0;0;0;1	4.65;0.0;0.0;0.0;2.33	Pamela E Hoppe	2	43	4.65	2	46	4.347826087
Genetics	32586890	Simon W A Titen;Makenna T B Johnson;Mario Capecchi;Kent G Golic	3;0;0;11	5.08;0.0;0.0;18.64	Kent G Golic	11	59	18.64	11	59	18.6440678
CurrBiol	28943083	Ravi D Nath;Claire N Bedbrook;Michael J Abrams;Ty Basinger;Justin S Bois;David A Prober;Paul W Sternberg;Viviana Gradinaru;Lea Goentoro	1;0;1;1;0;1;1;1;1	2.86;0.0;2.86;2.86;0.0;2.86;2.86;2.86;2.86	Ravi D Nath;Michael J Abrams;Ty Basinger;David A Prober;Paul W Sternberg;Viviana Gradinaru;Lea Goentoro	1	35	2.86	1	44	2.272727273
PlosCompBiol	21060857	Timo Vuorela;Andrea Catte;Perttu S Niemelä;Anette Hall;Marja T Hyvönen;Siewert-Jan Marrink;Mikko Karttunen;Ilpo Vattulainen	1;2;2;1;3;2;1;8	1.32;2.63;2.63;1.32;3.95;2.63;1.32;10.53	Ilpo Vattulainen	8	76	10.53	8	79	10.12658228
mBio	34724818	Liam D McDonough;Animesh A Mishra;Nicholas Tosini;Pallavi Kakade;Swathi Penumutchu;Shen-Huan Liang;Corrine Maufrais;Bing Zhai;Ying Taur;Peter Belenky;Richard J Bennett;Tobias M Hohl;Andrew Y Koh;Iuliana V Ene	0;0;0;1;0;1;0;1;1;0;6;2;4;3	0.0;0.0;0.0;1.11;0.0;1.11;0.0;1.11;1.11;0.0;6.67;2.22;4.44;3.33	Richard J Bennett	6	90	6.67	6	94	6.382978723
PlosCompBiol	29522509	Sarah Jarvis;Konstantin Nikolic;Simon R Schultz	2;5;2	3.7;9.26;3.7	Konstantin Nikolic	5	54	9.26	5	57	8.771929825
JCellBiol	20974812	Masaru Mitsushima;Kazuhiro Aoki;Miki Ebisuya;Shigeru Matsumura;Takuya Yamamoto;Michiyuki Matsuda;Fumiko Toyoshima;Eisuke Nishida	0;0;0;0;0;0;1;1	0.0;0.0;0.0;0.0;0.0;0.0;3.03;3.03	Fumiko Toyoshima;Eisuke Nishida	1	33	3.03	1	33	3.03030303
MCB	14612391	Jennifer A Hackett;Carol W Greider	3;10	4.11;13.7	Carol W Greider	10	73	13.7	10	75	13.33333333
PlosPath	22291589	Henk J Busscher;Henny C van der Mei	7;7	33.33;33.33	Henk J Busscher;Henny C van der Mei	7	21	33.33	8	24	33.33333333
Genetics	23770700	Roy Ronen;Nitin Udpa;Eran Halperin;Vineet Bafna	0;2;0;2	0.0;4.88;0.0;4.88	Nitin Udpa;Vineet Bafna	2	41	4.88	2	51	3.921568627
Genetics	16702422	Denis Roze;Nick H Barton	0;7	0.0;18.42	Nick H Barton	7	38	18.42	8	54	14.81481481
PlosGenet	28046117	Yuan O Zhu;Gavin Sherlock;Dmitri A Petrov	2;2;4	3.45;3.45;6.9	Dmitri A Petrov	4	58	6.9	4	64	6.25
PlosCompBiol	20628618	Tetsuya Shiraishi;Shinako Matsuyama;Hiroaki Kitano	0;0;0	0.0;0.0;0.0	Tetsuya Shiraishi;Shinako Matsuyama;Hiroaki Kitano	0	67	0	0	70	0
Science	27365313	Christoph T Ellebrecht;Vijay G Bhoj;Arben Nace;Eun Jung Choi;Xuming Mao;Michael Jeffrey Cho;Giovanni Di Zenzo;Antonio Lanzavecchia;John T Seykora;George Cotsarelis;Michael C Milone;Aimee S Payne	1;0;0;0;1;1;1;1;0;0;0;3	2.86;0.0;0.0;0.0;2.86;2.86;2.86;2.86;0.0;0.0;0.0;8.57	Aimee S Payne	3	35	8.57	4	37	10.81081081
Nature	30568302	Yong Chen;Kenji Ikeda;Takeshi Yoneshiro;Annarita Scaramozza;Kazuki Tajima;Qiang Wang;Kyeongkyu Kim;Kosaku Shinoda;Carlos Henrique Sponton;Zachary Brown;Andrew Brack;Shingo Kajimura	2;2;2;0;1;0;0;6;0;0;0;10	5.26;5.26;5.26;0.0;2.63;0.0;0.0;15.79;0.0;0.0;0.0;26.32	Shingo Kajimura	10	38	26.32	10	38	26.31578947
PlosPath	31449551	Jay Vornhagen;Yuang Sun;Paul Breen;Valerie Forsyth;Lili Zhao;Harry L T Mobley;Michael A Bachman	0;0;2;0;3;4;12	0.0;0.0;2.56;0.0;3.85;5.13;15.38	Michael A Bachman	12	78	15.38	12	84	14.28571429
BMCmed	14736342	Alexandra Papaioannou;William Parkinson;Richard Cook;Nicole Ferko;Esther Coker;Jonathan D Adachi	0;0;0;0;1;0	0.0;0.0;0.0;0.0;4.76;0.0	Esther Coker	1	21	4.76	1	25	4
PlosCompBiol	26745628	Marco A Deriu;Gianvito Grasso;Jack A Tuszynski;Diego Gallo;Umberto Morbiducci;Andrea Danani	3;1;1;1;3;2	5.08;1.69;1.69;1.69;5.08;3.39	Marco A Deriu;Umberto Morbiducci	3	59	5.08	3	69	4.347826087
mBio	29114026	Kevin W Graepel;Xiaotao Lu;James Brett Case;Nicole R Sexton;Everett Clinton Smith;Mark R Denison	0;2;1;2;4;11	0.0;2.33;1.16;2.33;4.65;12.79	Mark R Denison	11	86	12.79	11	88	12.5
PlosPath	22479185	Shuzhen Sim;José L Ramirez;George Dimopoulos	2;0;8	2.6;0.0;10.39	George Dimopoulos	8	77	10.39	8	80	10
PlosMed	33373361	Christelle Elia;Alexis Karamanos;Alexandru Dregan;Majella O'Keeffe;Ingrid Wolfe;Jane Sandall;Craig Morgan;J Kennedy Cruickshank;Reeta Gobin;Rainford Wilks;Seeromanie Harding	0;0;0;0;0;0;0;0;0;0;0	0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0	Christelle Elia;Alexis Karamanos;Alexandru Dregan;Majella O'Keeffe;Ingrid Wolfe;Jane Sandall;Craig Morgan;J Kennedy Cruickshank;Reeta Gobin;Rainford Wilks;Seeromanie Harding	0	34	0	0	44	0
MCB	17967894	Xiaohui Liu;Marina Vorontchikhina;Yuan-Liang Wang;Francesco Faiola;Ernest Martinez	2;0;0;1;6	2.3;0.0;0.0;1.15;6.9	Ernest Martinez	6	87	6.9	6	87	6.896551724
